ID,Rithala,Rohini West,Rohini East,Pitampura,Kohat Enclave,Netaji Subash Place,Keshav Puram,Kanhaiya Nagar,Inderlok,Shastri Nagar,Pratap Nagar,Pul Bangash,Tis Hazari,Kashmere Gate,Shastri Park,Seelam Pur,Welcome,Shahdara,Mansrover park,Jhilmil,Dilshad Garden
0,5:28am,5:30am,5:33am,5:35am,5:37am,5:40am,5:43am,5:45am,5:47am,5:49am,5:52am,5:55am,5:57am,5:59am,6:03am,6:06am,6:08am,6:11am,6:13am,6:16am,6:18am
1,5:35am,5:38am,5:40am,5:42am,5:45am,5:47am,5:50am,5:52am,5:54am,5:57am,6:00am,6:02am,6:04am,6:06am,6:10am,6:13am,6:15am,6:18am,6:20am,6:23am,6:25am
10,6:39am,6:42am,6:45am,6:47am,6:49am,6:52am,6:54am,6:56am,6:59am,7:01am,7:04am,7:06am,7:09am,7:11am,7:15am,7:18am,7:20am,7:22am,7:25am,7:27am,7:29am
100,4:48pm,4:50pm,4:53pm,4:55pm,4:57pm,5:00pm,5:02pm,5:04pm,5:07pm,5:09pm,5:12pm,5:15pm,5:17pm,5:19pm,5:23pm,5:26pm,5:28pm,5:31pm,5:33pm,5:35pm,5:38pm
101,4:55pm,4:58pm,5:00pm,5:02pm,5:04pm,5:07pm,5:10pm,5:12pm,5:14pm,5:17pm,5:19pm,5:22pm,5:24pm,5:26pm,5:30pm,5:33pm,5:35pm,5:38pm,5:40pm,5:43pm,5:45pm
102,5:02pm,5:05pm,5:07pm,5:09pm,5:12pm,5:14pm,5:17pm,5:19pm,5:21pm,5:24pm,5:27pm,5:29pm,5:31pm,5:34pm,5:37pm,5:40pm,5:43pm,5:45pm,5:48pm,5:50pm,5:52pm
103,5:08pm,5:11pm,5:13pm,5:16pm,5:18pm,5:20pm,5:23pm,5:25pm,5:27pm,5:30pm,5:33pm,5:35pm,5:37pm,5:40pm,5:44pm,5:46pm,5:49pm,5:51pm,5:54pm,5:56pm,5:58pm
104,5:14pm,5:17pm,5:20pm,5:22pm,5:24pm,5:27pm,5:29pm,5:31pm,5:34pm,5:36pm,5:39pm,5:41pm,5:44pm,5:46pm,5:50pm,5:53pm,5:55pm,5:57pm,6:00pm,6:02pm,6:04pm
105,5:21pm,5:23pm,5:26pm,5:28pm,5:30pm,5:33pm,5:35pm,5:37pm,5:40pm,5:42pm,5:45pm,5:48pm,5:50pm,5:52pm,5:56pm,5:59pm,6:01pm,6:04pm,6:06pm,6:08pm,6:11pm
106,5:27pm,5:30pm,5:32pm,5:34pm,5:36pm,5:39pm,5:42pm,5:44pm,5:46pm,5:49pm,5:51pm,5:54pm,5:56pm,5:58pm,6:02pm,6:05pm,6:07pm,6:10pm,6:12pm,6:15pm,6:17pm
107,5:33pm,5:36pm,5:38pm,5:40pm,5:43pm,5:45pm,5:48pm,5:50pm,5:52pm,5:55pm,5:58pm,6:00pm,6:02pm,6:05pm,6:08pm,6:11pm,6:14pm,6:16pm,6:19pm,6:21pm,6:23pm
108,5:39pm,5:42pm,5:44pm,5:47pm,5:49pm,5:51pm,5:54pm,5:56pm,5:58pm,6:01pm,6:04pm,6:06pm,6:08pm,6:11pm,6:15pm,6:17pm,6:20pm,6:22pm,6:25pm,6:27pm,6:29pm
109,5:45pm,5:48pm,5:51pm,5:53pm,5:55pm,5:58pm,6:00pm,6:02pm,6:05pm,6:07pm,6:10pm,6:12pm,6:15pm,6:17pm,6:21pm,6:24pm,6:26pm,6:28pm,6:31pm,6:33pm,6:35pm
