ID,Dhansa Bus Stand,Najafgarh,Nangli,Dwarka
15876,5:55am,5:57am,6:01am,6:04am
15877,6:10am,6:12am,6:16am,6:19am
15878,6:25am,6:27am,6:31am,6:34am
15879,6:40am,6:42am,6:46am,6:49am
15880,6:55am,6:57am,7:01am,7:04am
15881,7:10am,7:12am,7:16am,7:19am
15882,7:25am,7:27am,7:31am,7:34am
15883,7:40am,7:42am,7:46am,7:49am
15884,7:55am,7:57am,8:01am,8:04am
15885,8:10am,8:12am,8:16am,8:19am
15886,8:22am,8:24am,8:28am,8:31am
15887,8:34am,8:36am,8:40am,8:43am
15888,8:46am,8:48am,8:52am,8:55am
15889,8:58am,9:00am,9:04am,9:07am
15890,9:10am,9:12am,9:16am,9:19am
15891,9:22am,9:24am,9:28am,9:31am
15892,9:34am,9:36am,9:40am,9:43am
15893,9:46am,9:48am,9:52am,9:55am
15894,9:58am,10:00am,10:04am,10:07am
15895,10:10am,10:12am,10:16am,10:19am
15896,10:22am,10:24am,10:28am,10:31am
15897,10:34am,10:36am,10:40am,10:43am
15898,10:46am,10:48am,10:52am,10:55am
15899,10:58am,11:00am,11:04am,11:07am
15900,11:10am,11:12am,11:16am,11:19am
15901,11:22am,11:24am,11:28am,11:31am
15902,11:34am,11:36am,11:40am,11:43am
15903,11:46am,11:48am,11:52am,11:55am
15904,11:58am,12:00pm,12:04pm,12:07pm
15905,12:10pm,12:12pm,12:16pm,12:19pm
15906,12:25pm,12:27pm,12:31pm,12:34pm
15907,12:40pm,12:42pm,12:46pm,12:49pm
15908,12:55pm,12:57pm,1:01pm,1:04pm
15909,1:10pm,1:12pm,1:16pm,1:19pm
15910,1:25pm,1:27pm,1:31pm,1:34pm
15911,1:40pm,1:42pm,1:46pm,1:49pm
15912,1:55pm,1:57pm,2:01pm,2:04pm
15913,2:10pm,2:12pm,2:16pm,2:19pm
15914,2:25pm,2:27pm,2:31pm,2:34pm
15915,2:40pm,2:42pm,2:46pm,2:49pm
15916,2:55pm,2:57pm,3:01pm,3:04pm
15917,3:10pm,3:12pm,3:16pm,3:19pm
15918,3:25pm,3:27pm,3:31pm,3:34pm
15919,3:40pm,3:42pm,3:46pm,3:49pm
15920,3:55pm,3:57pm,4:01pm,4:04pm
15921,4:10pm,4:12pm,4:16pm,4:19pm
15922,4:25pm,4:27pm,4:31pm,4:34pm
15923,4:40pm,4:42pm,4:46pm,4:49pm
15924,4:55pm,4:57pm,5:01pm,5:04pm
15925,5:10pm,5:12pm,5:16pm,5:19pm
15926,5:22pm,5:24pm,5:28pm,5:31pm
15927,5:34pm,5:36pm,5:40pm,5:43pm
15928,5:46pm,5:48pm,5:52pm,5:55pm
15929,5:58pm,6:00pm,6:04pm,6:07pm
15930,6:10pm,6:12pm,6:16pm,6:19pm
15931,6:22pm,6:24pm,6:28pm,6:31pm
15932,6:34pm,6:36pm,6:40pm,6:43pm
15933,6:46pm,6:48pm,6:52pm,6:55pm
15934,6:58pm,7:00pm,7:04pm,7:07pm
15935,7:10pm,7:12pm,7:16pm,7:19pm
15936,7:22pm,7:24pm,7:28pm,7:31pm
15937,7:34pm,7:36pm,7:40pm,7:43pm
15938,7:46pm,7:48pm,7:52pm,7:55pm
15939,7:58pm,8:00pm,8:04pm,8:07pm
15940,8:10pm,8:12pm,8:16pm,8:19pm
15941,8:22pm,8:24pm,8:28pm,8:31pm
15942,8:34pm,8:36pm,8:40pm,8:43pm
15943,8:46pm,8:48pm,8:52pm,8:55pm
15944,8:58pm,9:00pm,9:04pm,9:07pm
15945,9:10pm,9:12pm,9:16pm,9:19pm
15946,9:25pm,9:27pm,9:31pm,9:34pm
15947,9:40pm,9:42pm,9:46pm,9:49pm
15948,9:55pm,9:57pm,10:01pm,10:04pm
15949,10:10pm,10:12pm,10:16pm,10:19pm
15950,10:25pm,10:27pm,10:31pm,10:34pm
15951,10:40pm,10:42pm,10:46pm,10:49pm
15952,10:55pm,10:57pm,11:01pm,11:04pm
